         88457743 function calls in 59.583 seconds

   Ordered by: cumulative time
   List reduced from 192 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   360641    0.073    0.000    0.110    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2376(<genexpr>)
     1795    0.071    0.000    0.109    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3211(_process_deaths)
      397    0.010    0.000    0.097    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:332(build_glyph_surface)
   348101    0.095    0.000    0.095    0.000 {method 'pop' of 'list' objects}
   350744    0.095    0.000    0.095    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:321(get_sense_radius)
      397    0.006    0.000    0.064    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:269(_draw_stroke_set)
   360068    0.064    0.000    0.064    0.000 {method 'random' of '_random.Random' objects}
   350744    0.063    0.000    0.063    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:76(get_trail_length)
   350567    0.057    0.000    0.057    0.000 {method 'setdefault' of 'dict' objects}
   213516    0.056    0.000    0.056    0.000 {built-in method builtins.round}
     9967    0.054    0.000    0.054    0.000 {built-in method pygame.transform.smoothscale}
   403873    0.047    0.000    0.047    0.000 {built-in method math.cos}
   209943    0.038    0.000    0.038    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:305(_get_depth_render_style)
   213548    0.037    0.000    0.037    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
   219991    0.036    0.000    0.036    0.000 {built-in method builtins.isinstance}
     1245    0.032    0.000    0.032    0.000 {method 'clear' of 'dict' objects}
     1234    0.023    0.000    0.023    0.000 {built-in method pygame.event.get}
   129614    0.021    0.000    0.021    0.000 {built-in method math.copysign}
     1234    0.010    0.000    0.020    0.000 /home/victoria/projects/primordial/primordial/runtime/timing.py:161(build_frame_metrics)
     1234    0.001    0.000    0.018    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:367(process_events)
      231    0.011    0.000    0.018    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:162(_draw_spiral)
    67860    0.016    0.000    0.016    0.000 {built-in method time.perf_counter}
      177    0.000    0.000    0.015    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:336(add_death)
     1234    0.010    0.000    0.015    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:647(_draw_inspect_overlay)
      255    0.008    0.000    0.015    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:35(_draw_arc)
      177    0.008    0.000    0.015    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:105(__init__)
     1234    0.005    0.000    0.014    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:118(get_effective_target_fps)
     1795    0.004    0.000    0.013    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3008(_get_overcrowding_penalty)
     1234    0.006    0.000    0.012    0.000 /home/victoria/projects/primordial/primordial/rendering/action_bar.py:127(build_context)
     5507    0.010    0.000    0.012    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:309(_get_mode_param)
     1234    0.008    0.000    0.011    0.000 /home/victoria/projects/primordial/primordial/runtime/timing.py:65(record_frame)
    13139    0.010    0.000    0.010    0.000 {built-in method pygame.draw.line}
     1792    0.003    0.000    0.009    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:268(draw)
     1917    0.003    0.000    0.009    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3016(_get_carrying_capacity)
      122    0.001    0.000    0.009    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2388(_reproduce_boids)
     1234    0.002    0.000    0.009    0.000 /home/victoria/projects/primordial/primordial/rendering/action_bar.py:241(draw)
     7039    0.009    0.000    0.009    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:152(tick)
     1795    0.003    0.000    0.008    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:81(buffer_simulation_attacks)
      705    0.001    0.000    0.007    0.000 /usr/lib/python3.12/random.py:126(__init__)
     7404    0.007    0.000    0.007    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:822(<genexpr>)
    15739    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
     1234    0.004    0.000    0.007    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:45(sample_elapsed)
      705    0.002    0.000    0.007    0.000 /usr/lib/python3.12/random.py:135(seed)
     2198    0.001    0.000    0.006    0.000 /usr/lib/python3.12/random.py:332(randint)
    10385    0.006    0.000    0.006    0.000 {built-in method math.atan2}
    20316    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
     1234    0.004    0.000    0.006    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:103(_get_effective_mode_param)
     1234    0.002    0.000    0.006    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:341(_select_frame_target)
     1234    0.002    0.000    0.006    0.000 /home/victoria/projects/primordial/primordial/rendering/action_bar.py:165(opacity)
        1    0.004    0.004    0.006    0.006 /home/victoria/projects/primordial/primordial/rendering/renderer.py:856(_ensure_zone_background_surface)
     1909    0.002    0.000    0.005    0.000 /usr/lib/python3.12/random.py:341(choice)
     2198    0.002    0.000    0.005    0.000 /usr/lib/python3.12/random.py:291(randrange)
      397    0.001    0.000    0.005    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:236(_genome_hash_seed)
     6832    0.003    0.000    0.005    0.000 /usr/lib/python3.12/random.py:494(uniform)
       90    0.001    0.000    0.005    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2952(_apply_cosmic_ray)
     4107    0.003    0.000    0.005    0.000 /usr/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
    20316    0.005    0.000    0.005    0.000 {built-in method builtins.divmod}
     1234    0.003    0.000    0.005    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:1541(_update_fps)
